Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20,Topic_21,Topic_22,Topic_23,Topic_24,Topic_25,Topic_26,Topic_27,Topic_28,Topic_29,Topic_30,Topic_31,Topic_32,Topic_33,Topic_34,Topic_35,Topic_36,Topic_37,Topic_38,Topic_39,Topic_40,Topic_41,Topic_42,Topic_43,Topic_44,Topic_45,Topic_46,Topic_47,Topic_48,Topic_49
0.04426336869463084,-0.0037858272738680826,0.01475375023891075,0.03253816728835029,-0.010821909727180064,-0.07096646185044733,-0.06980632507946774,-0.07080164164804241,0.1946608902512897,0.02075593916498745,0.05873386932724943,0.24943066960914467,0.009220001100278676,-0.05683272088355165,-0.08108355493975634,0.1515599420254654,-0.0176828048060833,0.09471096485381095,-0.027637242439949278,-0.051285576906494684,0.0589176849290969,-0.008096615414053633,0.15004063266277132,0.030462036329364783,-0.030431438147135528,0.043022850457670736,-0.08446877001407618,0.020304110611334466,-0.02412169519197932,-0.03821477446972346,0.09316197301688835,0.053535700199469086,0.018985968492967298,0.11057878124142337,0.08686023687534268,0.09001759717069077,-0.1300459688749578,0.032154633642400975,0.032189324436846224,-0.018237828646981043,0.02067033319751064,-0.027263106969865523,-0.03630449544242047,0.01190813061649064,-0.054394358028420825,0.04612182703108064,0.08835237041981486,-0.13594236627787237,0.013610714203135175,5.3977168838335865e-05
0.11168905932871243,-0.012771845726512382,0.0003638983488976563,0.0645272227413872,0.01321434107515499,-0.1530165515024327,-0.11434156851889424,-0.11223305474866317,0.2614695759369226,-0.001001763857962695,-0.01887193979950496,-0.18450045236206755,-0.004649201320550855,0.2352497462339379,-0.0646387404111688,0.007949145273662537,-0.003939608115350805,0.04691734910435401,0.05847936010214747,0.07689567878902855,-0.027373499056739678,0.0007770605111606906,0.0015059806117350247,-0.036857433683343606,0.06404561754453514,0.06893634430022445,0.11206277874679524,0.006376838339795514,-0.02885726056413892,-0.030443777959561266,-0.07483075185452293,-0.03024813638698824,0.007835352717248454,0.008851974749307854,-0.07921693247556608,0.025252194466316446,-0.0241349371416292,0.04309441941264813,0.04802481354596131,-0.0003224827702565849,-0.09431376124465668,-0.08740989704290378,0.0013298114260380176,-0.08168426216735711,-0.10537948257072749,-0.006900429210705689,-0.06985889296543002,0.00573514399783575,-0.005110981973648967,0.049833280751482245
0.023022568811082056,0.002726880076181422,0.00309873523741518,0.015856016811532085,0.010833891001888463,-0.025909506383081773,-0.017561493946633592,0.015013528901705904,-0.012637662123018877,0.0071646028077868235,0.013261555432447638,0.04599230379624139,0.00783070068644345,-0.0014936029542937717,-0.016844845163249314,0.03259341675751379,0.018305777716042585,0.03684609644269197,0.0874543524686299,0.016601317481551407,0.024273464783685424,-0.0048787166468706455,-0.10396997654007376,-0.017092097619808524,-0.018594129553335583,0.10307004067509153,-0.06954764910749885,-0.10122846532198505,0.1111531704861162,0.02585480435840439,-0.07375369517328711,-0.03002952233106373,-0.007384996753028582,-0.05776553330022517,0.05311172630890026,-0.00810080771722633,-0.0026375473353985705,0.004305576763962486,-0.029635803878774757,-0.05783241637089402,0.0016435351857040014,-0.1176938978980539,-0.18254677851982337,-0.08812493020316023,0.12432754907391119,0.19266116723390547,-0.015288188862906203,0.08803326849967509,-0.010936982922342046,-0.06424272638231855
0.1547982230478826,-0.00599663143975051,0.020019773020162817,0.15354436486598438,-0.05839804489246918,-0.044240320876394776,0.049792596094771185,0.04269284135767937,-0.10388941560372059,0.001431437470942576,-0.04601049458441288,-0.030182058748655625,-0.010721468564192154,0.06821592047147997,0.21098691473856376,0.10845537205567878,0.02724053947739445,0.11862947433330137,0.101809806223725,-0.1235472162373708,-0.029233582457496923,0.09414799446860017,0.08013915330367073,-0.009296231170269145,-0.047433010745012646,0.04411504266263668,0.0797658203851592,0.0873554285997439,-0.1250790985232602,0.008805470534251451,-0.03234487789470956,0.12597741359699638,0.04773699284467935,-0.12472929340559231,-0.03147287901516877,-0.0023817959283449226,-0.11427293117941567,-0.1464761512204487,0.11456233410549374,0.07295194143489697,0.04636554292510489,-0.05673763300631972,0.002101374987472685,-0.019977450019930183,-0.007389177124919584,0.21305412164826928,-0.08624694421209061,-0.15513181250683522,-0.05720295741904223,0.09170687717617608
0.014709949770876729,-0.0037854317961318485,-0.0018345746191580357,-0.008348417124357384,0.0007950928787517559,-0.014367145310402564,0.004239729390286282,-0.006214496270144276,-0.0059552431081232185,0.006704002669967874,-0.004453785256733828,0.05912548286790521,-0.009075708894344921,0.0291426400277624,0.045666784030690334,0.0020070923711570992,0.05532578855638409,0.03421846231920184,0.07031959367965052,0.06657923504497337,-0.07448485032888667,-0.13462085890286848,-0.03440399520245543,-0.14145438157196671,-0.10075331342098595,-0.055023972760728554,-0.10403446756780003,0.1522143165366755,-0.13583832046144373,0.11810669801685471,-0.04763173516017533,-0.04563870721977678,0.23229375345019607,-0.08630530057419493,-0.05150132067572062,-0.05080395639519743,0.030760776879187865,-0.014103022774556911,-0.0473281895105042,0.00420827349907314,-7.222339738441807e-05,0.08994601208455064,0.02954058368845395,0.04914409882926461,0.07186365041901191,-0.04650656513540005,0.0986772796474531,-0.014048359913248078,-0.012442257273656806,0.042254392661677034
0.030209687057081127,0.007045879706831279,0.003522935802691329,-0.01195358955637396,-0.01615979065053704,0.00382155572578349,0.0080363938234233,-0.007133760502229101,0.00562867831853028,-0.014779846683668168,-0.005472893337141425,0.004695974741172674,-0.0007331512377931791,-0.011367356255411423,0.001742388442014459,-0.008492616727933666,0.013345420372159607,0.017224981030057242,0.00960347812855622,0.01908583642223918,0.019384587614287088,0.02331542856631284,-0.0010181287863925497,-0.02610514751693984,0.004112641031745487,0.005688171776737747,-0.030871725118406593,0.04990951636447655,-0.028348858989169428,0.027411229062448358,0.013334640188297785,-0.03505937655206295,-0.04332714385641393,0.04402449742475283,0.02754785490150237,-5.800789164875364e-05,0.05258458480756242,0.06780148824388747,0.042420048368858376,0.05486301993976314,0.02722136338041195,-0.009585692895190644,-0.005336523096994353,-0.0030072171781665245,-0.038378666557753224,0.04397246094518495,-0.07053183954019035,0.046981206598560504,-0.12637305130395726,0.008995804140474843
0.16702457842008886,-0.018483474636829776,0.015870747340391664,0.15379551534259,-0.06737654502431713,0.007647746044131477,0.04779603948679373,-0.010219445482030824,-0.060406169477907175,0.020499743933357618,-0.04142395746598184,0.13067588513241807,0.0036304980533317047,0.10343500214147286,-0.01542036626783732,-0.0789854277903083,-0.13036319483971492,-0.11867388053442661,-0.055492896362491474,-0.04341312875595533,0.03292105554281694,0.04106514155723902,0.05903378522189116,-0.0033612422299890607,0.08353956113355283,-0.06385075066466028,-0.02807573253572515,0.049395446358115436,0.01847251232970387,-0.06105150865752602,0.016931968111629628,-0.06532484191183388,0.03348875245266192,-0.0076979518821942644,0.02391343346181429,0.05853409695610588,-0.03672625715247977,-0.01353820462303797,-0.08915450672286876,-0.006088625553061656,-0.05618896971698864,0.0548952771613585,0.07622390545724089,-0.06049787394953288,0.020405582793844745,0.03967280613199252,-0.025330734223192455,0.12199988710162908,-0.08710153217746154,-0.03793256790783206
0.21832077046201182,-0.06061839169314017,-0.0410540623431534,-0.127549694719258,-0.010330968285560195,-0.17560634184081136,-0.09693091467327819,-0.035591767344074716,0.09845609204664961,-0.008354469564965385,-0.04970603489849974,0.11967003963813211,0.008346946270081788,0.24427210204132085,-0.12561401996112448,-0.046325439691344304,0.01100418146355906,-0.002408004077242822,-0.023557175595154897,-0.06890600171363973,-0.11018456722118124,-0.008301145854670428,0.035792816987727245,-0.015292637126261043,-0.03943792517774676,-0.068562161754044,-0.10837782121732296,-0.02277031417718252,-0.032607217868973984,-0.14957891482871172,-0.04881341429009827,-0.015644751767612597,0.16600330774510844,-0.13627812372111525,0.08639605771471362,0.05791092475497404,-0.023400833464488003,0.024675720938812665,-0.010662734576146273,0.12432251231934231,-0.1595521545432799,-0.0776899944594637,-0.10964205376295132,-0.018142160847923368,-0.23443010571823628,-0.01207064370546907,-0.07099136363155677,-0.008090419426000476,-0.037144651309108254,0.026394642842838444
0.16164689727359344,-0.007931804031060427,0.032284924065903886,0.15617250838115507,-0.044263907772080766,-0.024712728779995127,-0.02273092498871955,-0.09750986148275187,0.1660911212888362,-0.006750147755803803,0.03258995599357155,-0.08243843945308432,0.009531225623891852,-0.0017867301507974546,0.19416868130832393,0.0661800890505995,0.04202931886566648,-0.04193586396303792,0.04000735801698442,0.0027694808355257557,0.018712085766341032,0.04128667745260104,-0.03433632892228918,-0.0362404561655289,-0.05630724101413068,0.03810442185469343,-0.037179824112308975,-0.008342768247174857,-0.04046073661106817,-0.041690749619381864,-0.10900097846763614,0.09357275928621037,-0.06773371770625103,-0.023162053181554614,0.07351232920017169,-0.02066690102391981,0.05855468247297121,-0.06265100722408279,0.019017177320686973,-0.03543143256941962,-0.055035982151934656,0.049050114778590184,0.04552134760205539,0.010664979807461523,-0.032863038428511335,-0.06438852262687626,0.11202602758209229,0.06819705840534565,0.07262250997289166,0.12795794309339434
0.047009205880541555,0.01121461102011496,0.022119872863722575,0.038286007998299405,0.024918755704185624,-0.05468271553437516,0.03275903131795556,-0.03802770151704524,0.05876160108731941,0.04640698558281046,0.05589520635607041,0.2411008979068992,-0.02897896069128352,-0.12344110052881868,-0.18237966963802102,0.3627657451591797,0.05298764177847115,0.09594288917851308,-0.06733905254122471,-0.04356801372758318,-0.07066098314002771,0.019301054621696477,-0.06107608818791991,-0.08860166601217112,0.01785442259521565,-0.007084256871419136,0.06278087754893502,-0.16783683905625885,0.0037463515784726164,0.09665244110029483,-0.13293909625733186,-0.18704972276147197,-0.05705059781628222,-0.25600727561967984,-0.12443843902208306,-0.0349724811159363,0.11688812740638133,-0.027669079732465664,-0.033275436405954345,0.05764081799519805,0.09291208432335442,0.0009175022107715449,0.06834021391806552,-0.03601143373901122,-0.008508753433817339,-0.027696793244649243,-0.05632313082862,0.10873998341600993,0.04624863725580508,0.11237548686806965
